ID,Name,Description,Category,Comment,Cognateset_ID,CognatesetReference_ID,Chapter_ID
4-2-30-None-76-POc-bapwa-a-1,,,,,4-2-30-None-76-POc-bapwa-a,4-2-30-None-76-POc-bapwa-a,4-2
4-2-30-None-76-POc-sabutu-a-1,,,,,4-2-30-None-76-POc-sabutu-a,4-2-30-None-76-POc-sabutu-a,4-2
4-2-30-None-78-POc-kiepv-a-1,,,,,4-2-30-None-78-POc-kiepv-a,4-2-30-None-78-POc-kiepv-a,4-2
4-2-34-None-80-POc-lau-a-1,,,,,4-2-34-None-80-POc-lau-a,4-2-34-None-80-POc-lau-a,4-2
4-2-36-None-81-POc-kulabo-a-1,,,,,4-2-36-None-81-POc-kulabo-a,4-2-36-None-81-POc-kulabo-a,4-2
4-2-36-None-82-POc-susul-a-1,,,,,4-2-36-None-82-POc-susul-a,4-2-36-None-82-POc-susul-a,4-2
4-2-37-None-86-POc-sapulu-a-1,,,,,4-2-37-None-86-POc-sapulu-a,4-2-37-None-86-POc-sapulu-a,4-2
4-2-46-None-93-POc-babu-a-1,,,,,4-2-46-None-93-POc-babu-a,4-2-46-None-93-POc-babu-a,4-2
4-2-46-None-94-PEOc-lapi-a-1,,,,,4-2-46-None-94-PEOc-lapi-a,4-2-46-None-94-PEOc-lapi-a,4-2
4-2-47-None-96-POc-kamaiutuq-a-1,,,,,4-2-47-None-96-POc-kamaiutuq-a,4-2-47-None-96-POc-kamaiutuq-a,4-2
4-2-47-None-97-POc-mkarawa-a-1,,,,,4-2-47-None-97-POc-mkarawa-a,4-2-47-None-97-POc-mkarawa-a,4-2
4-2-47-None-98-POc-mamanu-a-1,,,,,4-2-47-None-98-POc-mamanu-a,4-2-47-None-98-POc-mamanu-a,4-2
4-2-47-None-98-POc-bos-a-1,,,,,4-2-47-None-98-POc-bos-a,4-2-47-None-98-POc-bos-a,4-2
4-2-49-None-99-POc-kakawa-a-1,,,,,4-2-49-None-99-POc-kakawa-a,4-2-49-None-99-POc-kakawa-a,4-2
4-2-54-None-101-POc-qume-a-1,,,,,4-2-54-None-101-POc-qume-a,4-2-54-None-101-POc-qume-a,4-2
4-2-54-None-103-POc-mara-a-1,,,,,4-2-54-None-103-POc-mara-a,4-2-54-None-103-POc-mara-a,4-2
4-2-54-None-103-POc-qapalir-a-1,,,,,4-2-54-None-103-POc-qapalir-a,4-2-54-None-103-POc-qapalir-a,4-2
4-2-54-None-106-PEOc-bonea-a-1,,,,,4-2-54-None-106-PEOc-bonea-a,4-2-54-None-106-PEOc-bonea-a,4-2
